latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
36.06452,100.22453,326.29,3.92,1.84,26-06-2026,0145,T,41,6.1NRT,296.84,116.73,D
36.06255,100.26675,324.63,3.9,1.84,26-06-2026,0145,T,27,6.1NRT,296.55,99.92,D
23.16603,82.34404,321.22,1.04,1.02,26-06-2026,0328,T,51,6.1NRT,298.08,9.59,D
22.36152,82.30064,323.24,1.04,1.02,26-06-2026,0328,T,70,6.1NRT,298.78,9.65,D
22.03989,83.7292,324.49,1,1,26-06-2026,0328,T,74,6.1NRT,298.46,11.26,D
22.03853,83.73859,320.41,1,1,26-06-2026,0328,T,55,6.1NRT,298.4,7.25,D
21.91826,83.35178,319.4,1,1,26-06-2026,0328,T,59,6.1NRT,297.35,8.39,D
21.796,83.88868,318.14,1.01,1,26-06-2026,0328,T,58,6.1NRT,297.75,5.89,D
21.74708,83.97718,318.95,1.01,1,26-06-2026,0328,T,60,6.1NRT,297.54,6.41,D
21.73713,83.84367,324.09,1.01,1,26-06-2026,0328,T,51,6.1NRT,298.2,10.94,D
21.67818,83.30088,318.39,1,1,26-06-2026,0328,T,23,6.1NRT,298.98,6.8,D
21.31645,83.88478,319.24,1.01,1,26-06-2026,0328,T,60,6.1NRT,297.09,6.56,D
20.9519,85.01328,316.34,1.09,1.04,26-06-2026,0328,T,16,6.1NRT,296.68,6.19,D
16.64148,80.48969,315.64,1.08,1.04,26-06-2026,0330,T,54,6.1NRT,294.4,7.5,D
14.30487,79.7701,315.56,1.1,1.05,26-06-2026,0330,T,65,6.1NRT,290.25,7.52,D
10.12014,78.82326,311.9,1.11,1.05,26-06-2026,0330,T,64,6.1NRT,291.57,5.5,D
10.02338,79.12865,318.83,1.08,1.04,26-06-2026,0330,T,73,6.1NRT,297.96,6.04,D
8.44519,78.01004,320.35,1.17,1.08,26-06-2026,0332,T,71,6.1NRT,297.5,11.18,D
23.22018,70.43784,310.64,4.82,2,26-06-2026,0504,T,29,6.1NRT,291.57,61.87,D
24.5049,54.02232,315.27,1.71,1.28,26-06-2026,0504,T,63,6.1NRT,303.34,16.41,D
39.15685,70.89538,313.62,2.07,1.4,26-06-2026,0459,T,32,6.1NRT,300.79,20.34,D
39.73702,66.97903,319.93,1.22,1.1,26-06-2026,0459,T,65,6.1NRT,304.31,9.83,D
39.63256,66.87132,331.33,1.21,1.09,26-06-2026,0459,T,80,6.1NRT,306.98,25.27,D
37.40434,64.95068,334.64,1.09,1.04,26-06-2026,0501,T,71,6.1NRT,313.02,20.67,D
37.79727,59.25309,330.19,1.23,1.1,26-06-2026,0501,T,79,6.1NRT,302.83,25.95,D
27.77525,58.32476,333.89,1.07,1.03,26-06-2026,0504,T,74,6.1NRT,311.5,15.56,D
27.77389,58.33533,339.07,1.07,1.03,26-06-2026,0504,T,82,6.1NRT,311.72,24.26,D
32.88603,95.27749,329.73,1.27,1.12,26-06-2026,0833,A,36,6.1NRT,298.02,28.59,D
33.3679,97.10204,312.11,1.05,1.02,26-06-2026,0833,A,41,6.1NRT,298.42,7.15,D
36.06469,100.20223,321.6,1.1,1.05,26-06-2026,0833,A,51,6.1NRT,304.13,6.96,D
13.71417,79.91748,352.12,1.03,1.01,26-06-2026,1004,A,90,6.1NRT,300.46,55.59,D
13.71286,79.90831,358.07,1.03,1.01,26-06-2026,1004,A,99,6.1NRT,301.51,70.29,D
13.723,79.91613,333.7,1.03,1.01,26-06-2026,1004,A,79,6.1NRT,299.92,22.38,D
13.72169,79.90697,339.95,1.03,1.01,26-06-2026,1004,A,88,6.1NRT,299.46,31.57,D
14.46742,79.42977,318.26,1.01,1.01,26-06-2026,1004,A,40,6.1NRT,295.19,7.52,D
18.17721,79.35238,327.1,1.05,1.03,26-06-2026,1006,A,79,6.1NRT,293.11,15.11,D
22.36986,73.2524,335.83,1.34,1.15,26-06-2026,1006,A,81,6.1NRT,307.93,27.15,D
28.2294,80.20644,323.13,1.53,1.22,26-06-2026,1009,A,64,6.1NRT,301.76,14.68,D
28.2277,80.19138,324.49,1.53,1.22,26-06-2026,1009,A,68,6.1NRT,302.97,17.14,D
28.23663,80.17486,339.43,1.52,1.22,26-06-2026,1009,A,87,6.1NRT,302.7,53.73,D
28.23491,80.15984,327.54,1.52,1.22,26-06-2026,1009,A,73,6.1NRT,302.14,23.07,D
28.63732,78.66783,325.82,1.25,1.11,26-06-2026,1009,A,68,6.1NRT,304.3,13.56,D
28.85179,79.86091,320.24,1.48,1.2,26-06-2026,1009,A,53,6.1NRT,301.89,10.75,D
29.64267,76.77498,324.58,1.06,1.03,26-06-2026,1009,A,64,6.1NRT,303.83,10,D
30.00487,76.79482,324.78,1.07,1.03,26-06-2026,1009,A,67,6.1NRT,303.41,10.89,D
30.00344,76.78409,329.89,1.07,1.03,26-06-2026,1009,A,76,6.1NRT,303.56,17.62,D
29.6163,71.89314,327.52,1.23,1.1,26-06-2026,1009,A,69,6.1NRT,305.29,11.95,D
29.6321,71.92731,327.22,1.22,1.1,26-06-2026,1009,A,69,6.1NRT,304.85,11.04,D
29.64989,71.97337,326.61,1.22,1.1,26-06-2026,1009,A,68,6.1NRT,304,12.5,D
30.33424,75.96294,325.57,1.02,1.01,26-06-2026,1009,A,68,6.1NRT,303.5,10.24,D
30.34304,75.9613,324.49,1.02,1.01,26-06-2026,1009,A,66,6.1NRT,303.36,9.24,D
29.92074,72.9261,325.19,1.1,1.04,26-06-2026,1009,A,67,6.1NRT,303.34,10.06,D
29.91897,72.91519,326.98,1.1,1.04,26-06-2026,1009,A,71,6.1NRT,303.14,13.03,D
30.43246,76.00139,321.8,1.03,1.01,26-06-2026,1009,A,60,6.1NRT,303.68,6.47,D
29.9683,72.70372,326.26,1.12,1.05,26-06-2026,1009,A,67,6.1NRT,303.52,9.56,D
29.96647,72.6926,332.57,1.12,1.05,26-06-2026,1009,A,78,6.1NRT,303.61,18.73,D
29.99954,72.56384,330.14,1.13,1.06,26-06-2026,1009,A,74,6.1NRT,303.09,16.41,D
30.55559,76.16441,325.34,1.04,1.02,26-06-2026,1009,A,71,6.1NRT,304.69,10.47,D
30.48136,75.56622,349.93,1.01,1,26-06-2026,1009,A,94,6.1NRT,303.9,49.84,D
30.62016,76.15659,335.16,1.04,1.02,26-06-2026,1009,A,83,6.1NRT,303.98,23.29,D
30.61874,76.14613,328.52,1.04,1.02,26-06-2026,1009,A,76,6.1NRT,304.63,13.78,D
30.62333,76.11315,326.48,1.04,1.02,26-06-2026,1009,A,73,6.1NRT,305.24,10.83,D
29.93005,71.50003,330.65,1.27,1.12,26-06-2026,1009,A,74,6.1NRT,305.44,16.56,D
29.93972,71.49775,327.93,1.27,1.12,26-06-2026,1009,A,69,6.1NRT,304.93,12.3,D
30.123,72.40044,322.21,1.14,1.07,26-06-2026,1009,A,36,6.1NRT,300.8,9.88,D
20.97176,85.17529,305.35,3.14,1.68,26-06-2026,1420,T,64,6.1NRT,286.62,20.72,N
20.97194,85.16878,306.24,3.14,1.68,26-06-2026,1420,T,32,6.1NRT,286.97,22.21,N
21.106,72.6475,309.45,1.3,1.13,26-06-2026,1558,T,70,6.1NRT,295.89,7.49,N
28.30934,68.72278,317.95,1.03,1.02,26-06-2026,1558,T,93,6.1NRT,302.74,9.13,N
37.4411,71.5077,303.59,1.79,1.31,26-06-2026,1603,T,6,6.1NRT,289.28,17.19,N
37.43921,71.48595,303.44,1.79,1.31,26-06-2026,1603,T,33,6.1NRT,289.55,17.11,N
37.74222,65.24505,314.02,1,1,26-06-2026,1603,T,86,6.1NRT,297.28,9.7,N
37.46158,60.79369,307.88,1.33,1.14,26-06-2026,1603,T,71,6.1NRT,297.09,8.1,N
37.49937,59.67976,307.35,1.53,1.22,26-06-2026,1603,T,70,6.1NRT,295.84,7.92,N
37.8765,58.8284,316.73,1.68,1.28,26-06-2026,1603,T,94,6.1NRT,292.7,27.15,N
38.89476,63.78164,308.8,1.01,1.01,26-06-2026,1603,T,68,6.1NRT,296.15,5.95,N
38.8931,63.77032,321.91,1.01,1.01,26-06-2026,1603,T,100,6.1NRT,296.63,17.18,N
38.90189,63.76817,313.52,1.01,1.01,26-06-2026,1603,T,84,6.1NRT,295.91,9.58,N
38.99965,63.67966,311.07,1.02,1.01,26-06-2026,1603,T,76,6.1NRT,295.61,8.72,N
23.27304,54.27412,330.88,3.97,1.85,26-06-2026,1737,T,100,6.1NRT,299.86,204.3,N
23.26998,54.23641,321.8,3.95,1.85,26-06-2026,1737,T,100,6.1NRT,299.45,125.55,N
23.27988,54.26814,329.1,3.97,1.85,26-06-2026,1737,T,100,6.1NRT,299.85,188.27,N
23.27705,54.23042,313.67,3.95,1.85,26-06-2026,1737,T,84,6.1NRT,299.27,72.66,N
30.77201,76.19797,326.31,1.04,1.02,26-06-2026,1009,A,72,6.1NRT,304.58,11.87,D
30.42779,73.53362,332.47,1.04,1.02,26-06-2026,1009,A,79,6.1NRT,301.43,18.18,D
30.43827,73.54214,330.8,1.04,1.02,26-06-2026,1009,A,77,6.1NRT,301.31,15.87,D
30.45818,73.4948,324.24,1.04,1.02,26-06-2026,1009,A,64,6.1NRT,301.81,8.39,D
30.74496,75.34007,327.35,1.01,1,26-06-2026,1009,A,70,6.1NRT,302.42,11.87,D
30.74351,75.32993,321.98,1.01,1,26-06-2026,1009,A,53,6.1NRT,302.18,6.21,D
30.30812,72.51083,327.17,1.13,1.06,26-06-2026,1009,A,64,6.1NRT,302.27,14.97,D
30.48078,73.52228,326.27,1.04,1.02,26-06-2026,1009,A,69,6.1NRT,301.98,10.26,D
30.86973,75.5719,321.86,1.01,1.01,26-06-2026,1009,A,56,6.1NRT,303.62,6.46,D
30.90393,75.53765,324.62,1.01,1.01,26-06-2026,1009,A,66,6.1NRT,303.14,9.15,D
30.90249,75.52742,327.27,1.01,1.01,26-06-2026,1009,A,72,6.1NRT,303.17,12.25,D
30.48211,72.61033,323.52,1.11,1.05,26-06-2026,1009,A,54,6.1NRT,302.93,8.82,D
30.78108,74.38631,325.48,1,1,26-06-2026,1009,A,67,6.1NRT,300.91,11.06,D
30.78978,74.38453,320.91,1,1,26-06-2026,1009,A,49,6.1NRT,301.23,6.94,D
30.69971,73.79462,321.03,1.02,1.01,26-06-2026,1009,A,17,6.1NRT,298.16,5.03,D
30.7306,73.93616,327.76,1.02,1.01,26-06-2026,1009,A,69,6.1NRT,301.44,12.95,D
